1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
269	-0.147209	49.862182	0.014348	1.4
270	-0.358597	49.798636	0.119617	1.4
271	-0.272347	49.735306	0.113844	1.3
272	-0.361564	49.672190	0.023658	1.4
273	-0.303446	49.609288	0.016190	1.4
274	-0.332485	49.546597	0.028570	1.5
275	-0.193816	49.484117	0.082435	1.9
276	-0.154098	49.421847	0.042263	1.4
277	-0.366573	49.359785	0.099410	1.4
278	-0.326587	49.297930	0.006735	1.4
279	-0.312870	49.236282	0.030716	1.5
280	-0.146056	49.174839	0.055863	1.3
281	-0.171881	49.113600	0.039544	1.5
282	-0.282004	49.052564	0.085936	2.1
283	-0.459903	48.991730	0.075801	1.7
284	-0.640413	48.931097	0.146885	1.7
285	-0.266777	48.870663	0.032750	1.7
286	-0.111976	48.810428	0.045165	1.4
287	-0.333033	48.750391	0.032880	1.9
288	-0.574782	48.690550	0.214367	1.4
289	-0.179150	48.630905	0.022728	1.3
290	-0.306020	48.571454	0.056228	1.4
291	-0.139341	48.512196	0.056611	1.5
292	-0.423910	48.453131	0.052488	1.4
293	-0.133262	48.394257	0.045859	1.6
294	-0.277042	48.335574	0.088251	1.7
295	-0.306628	48.277079	0.055471	1.4
296	-0.258818	48.218774	0.094707	1.4
297	-0.371146	48.160656	0.115154	1.4
298	-0.720223	48.102724	0.194300	1.4
299	-0.630959	48.044977	0.126753	1.5
300	-0.119925	47.987415	0.030838	1.4
301	-0.008181	47.930037	0.000333	3.3
302	-0.446016	47.872841	0.099541	4.0
303	-0.356916	47.815827	0.186158	2.2
304	-0.088312	47.758994	0.018177	1.9
305	-0.285249	47.702340	0.042245	2.6
306	-0.381257	47.645865	0.063906	6.4
307	-0.276406	47.589569	0.106975	3.1
308	-0.192307	47.533449	0.047144	5.2
309	-0.231977	47.477505	0.038686	1.9
310	-0.377280	47.421737	0.050784	4.1
311	-0.140859	47.366143	0.053633	1.7
312	-0.337455	47.310722	0.020373	3.0
313	-0.435400	47.255474	0.161777	2.6
314	-0.357423	47.200398	0.088951	5.2
315	-0.465483	47.145492	0.052155	1.9
316	-0.266744	47.090757	0.071718	4.9
317	-0.804525	47.036190	0.409307	1.9
318	-0.122267	46.981792	0.019926	1.8
319	-0.107548	46.927562	0.017402	4.1
320	-0.054335	46.873498	0.004705	2.8
321	-0.311364	46.819599	0.005883	2.1
322	-0.172491	46.765866	0.018671	2.0
323	-0.301612	46.712297	0.060740	1.8
324	-0.275995	46.658891	0.039396	1.5
325	-0.601269	46.605648	0.110321	1.7
326	-0.335475	46.552566	0.067473	2.5
327	-0.236534	46.499646	0.072414	3.1
328	-0.045015	46.446885	0.020148	1.7
329	-0.212033	46.394284	0.078196	2.8
330	-0.734987	46.341841	0.163503	3.2
331	-0.195600	46.289556	0.036015	2.3
332	-0.234469	46.237428	0.050732	1.4
333	-0.120104	46.185457	0.023423	2.2
334	-0.098943	46.133640	0.051292	1.8
335	-0.145519	46.081979	0.013813	1.4
336	-0.177441	46.030472	0.014883	1.4
337	-0.337956	45.979117	0.073054	1.6
338	-0.089407	45.927916	0.015786	1.6
339	-0.117675	45.876866	0.021661	1.5
340	-0.378213	45.825967	0.066212	1.4
341	-0.305742	45.775218	0.023858	1.6
342	-0.128057	45.724619	0.024955	1.7
343	-0.264943	45.674169	0.062015	1.9
344	-0.000002	45.623867	0.000001	1.4
345	-0.471638	45.573713	0.088112	1.4
346	-0.295268	45.523705	0.011286	1.7
347	-0.380809	45.473843	0.103272	1.7
348	-0.357748	45.424127	0.028540	1.5
349	-0.218597	45.374555	0.027854	1.5
350	-0.189591	45.325128	0.060735	1.5
351	-0.654149	45.275843	0.074931	2.6
352	-0.276781	45.226702	0.025276	2.2
353	-0.259876	45.177702	0.018860	1.5
354	-0.269651	45.128844	0.066552	1.4
355	-0.310502	45.080126	0.013364	1.4
356	-0.271875	45.031548	0.050217	1.4
357	-0.322656	44.983110	0.047720	1.4
358	-0.149866	44.934810	0.007120	1.4
359	-0.549810	44.886648	0.174527	1.4
360	-0.329998	44.838624	0.107425	2.4
361	-0.147036	44.790737	0.056267	2.3
362	-0.269405	44.742985	0.125422	1.6
363	-0.217598	44.695370	0.065221	1.8
364	-0.418283	44.647889	0.104738	1.9
365	-0.235087	44.600542	0.045873	2.0
366	-0.451760	44.553329	0.081527	1.8
367	-0.279006	44.506249	0.039982	1.4
368	-0.529494	44.459302	0.180612	1.4
369	-0.292320	44.412486	0.025341	2.2
370	-0.649676	44.365801	0.180716	2.1
371	-0.409791	44.319248	0.051836	1.6
372	-0.278485	44.272824	0.066911	1.5
373	-0.290122	44.226529	0.048468	1.4
374	-0.559248	44.180364	0.113401	1.4
375	-0.428182	44.134327	0.085162	1.4
376	-0.523563	44.088417	0.165985	1.5
377	-0.298660	44.042635	0.058021	1.8
378	-0.028490	43.996979	0.017884	2.9
379	-0.457583	43.951449	0.063816	2.5
380	-0.498030	43.906045	0.153939	1.8
381	-0.339278	43.860765	0.055970	1.6
382	-0.139488	43.815610	0.026829	1.5
383	-0.408711	43.770579	0.073463	1.8
384	-0.395729	43.725670	0.129001	1.6
385	-0.564753	43.680885	0.195895	2.6
386	-0.044375	43.636221	0.006789	2.0
387	-0.153972	43.591679	0.025361	1.9
388	-0.000001	43.547258	0.000001	2.3
389	-0.385171	43.502958	0.102653	1.6
390	-0.395232	43.458778	0.046729	1.5
391	-0.810774	43.414717	0.137163	1.6
392	-0.470707	43.370775	0.094138	1.6
393	-0.148290	43.326951	0.064484	1.5
394	-0.135157	43.283245	0.025807	1.5
395	-0.478411	43.239657	0.126221	1.4
396	-0.448486	43.196185	0.178012	1.4
397	-0.138611	43.152830	0.051287	1.5
398	-0.000000	43.109591	0.000000	1.5
399	-0.678752	43.066467	0.165138	1.5
400	0.000000	43.023458	0.000000	1.5
401	-0.164550	42.980563	0.051551	1.5
402	-0.380019	42.937782	0.055047	1.6
403	-0.267175	42.895115	0.055496	2.4
404	-0.380943	42.852560	0.086034	1.5
405	-0.220556	42.810118	0.064545	1.5
406	-0.725107	42.767787	0.235967	1.5
